a	b	n_two_tile	beta_bij	s_perm	overshoot_id	gauss_lgA_err	gauss_lgB_err	gauss_dA_err	gauss_dB_err	telescope_lg_err	telescope_psi_err	beta_duality_pw	beta_duality_sum_err	sum_pcl	delta_target	identity_err	certified
4	9	3	true	true	true	4.440892e-16	1.776357e-15	3.463896e-14	9.237056e-14	6.661338e-16	8.881784e-16	true	1.387779e-17	-2.484388315487984e-2	-2.484388315487902e-2	8.187895e-16	true
5	9	4	true	true	true	4.440892e-16	1.776357e-15	4.618528e-14	9.237056e-14	4.440892e-16	0.000000e0	true	2.775558e-17	-2.159995197786774e-2	-2.159995197786729e-2	4.544976e-16	true
7	9	6	true	true	true	8.881784e-16	1.776357e-15	7.105427e-14	9.237056e-14	4.440892e-16	1.776357e-15	true	2.775558e-17	-3.835148625200316e-2	-3.835148625200299e-2	1.734723e-16	true
8	9	7	true	true	true	8.881784e-16	1.776357e-15	8.881784e-14	9.237056e-14	0.000000e0	3.552714e-15	true	0.000000e0	-4.312698645689014e-2	-4.312698645689011e-2	2.775558e-17	true
3	10	2	true	true	true	4.440892e-16	8.881784e-16	2.398082e-14	1.030287e-13	2.220446e-16	8.881784e-16	true	2.775558e-17	-1.505615613333356e-2	-1.505615613333187e-2	1.686151e-15	true
7	10	6	true	true	true	8.881784e-16	8.881784e-16	7.105427e-14	1.030287e-13	1.332268e-15	1.776357e-15	true	0.000000e0	-3.028055878354022e-2	-3.028055878353984e-2	3.816392e-16	true
9	10	8	true	true	true	1.776357e-15	8.881784e-16	9.237056e-14	1.030287e-13	8.881784e-16	0.000000e0	true	5.551115e-17	-3.926807988963397e-2	-3.926807988963388e-2	9.714451e-17	true
2	11	1	true	true	true	1.110223e-16	3.552714e-15	1.065814e-14	1.136868e-13	4.440892e-16	2.220446e-16	true	0.000000e0	-7.043878780706447e-3	-7.043878780703866e-3	2.581269e-15	true
3	11	2	true	true	true	4.440892e-16	3.552714e-15	2.398082e-14	1.136868e-13	4.440892e-16	8.881784e-16	true	4.163336e-17	-1.055980701405634e-2	-1.055980701405490e-2	1.443290e-15	true
4	11	3	true	true	true	4.440892e-16	3.552714e-15	3.463896e-14	1.136868e-13	1.110223e-15	8.881784e-16	true	0.000000e0	-1.292672780951962e-2	-1.292672780951862e-2	9.992007e-16	true
5	11	4	true	true	true	4.440892e-16	3.552714e-15	4.618528e-14	1.136868e-13	8.881784e-16	1.776357e-15	true	2.775558e-17	-2.143936125024736e-2	-2.143936125024668e-2	6.765422e-16	true
6	11	5	true	true	true	4.440892e-16	3.552714e-15	5.684342e-14	1.136868e-13	8.881784e-16	3.552714e-15	true	2.775558e-17	-1.616129038305624e-2	-1.616129038305583e-2	4.128642e-16	true
7	11	6	true	true	true	8.881784e-16	3.552714e-15	7.105427e-14	1.136868e-13	1.332268e-15	0.000000e0	true	0.000000e0	-2.642001435517045e-2	-2.642001435517012e-2	3.261280e-16	true
8	11	7	true	true	true	8.881784e-16	3.552714e-15	8.881784e-14	1.136868e-13	8.881784e-16	3.552714e-15	true	2.775558e-17	-2.984407694634328e-2	-2.984407694634307e-2	2.046974e-16	true
9	11	8	true	true	true	1.776357e-15	3.552714e-15	9.237056e-14	1.136868e-13	1.776357e-15	0.000000e0	true	2.775558e-17	-3.310559838397000e-2	-3.310559838396993e-2	7.632783e-17	true
10	11	9	true	true	true	8.881784e-16	3.552714e-15	1.030287e-13	1.136868e-13	8.881784e-16	3.552714e-15	true	4.163336e-17	-3.601908463419469e-2	-3.601908463419465e-2	4.163336e-17	true
5	12	4	true	true	true	4.440892e-16	0.000000e0	4.618528e-14	1.350031e-13	0.000000e0	1.776357e-15	true	1.387779e-17	-1.693226824215042e-2	-1.693226824214980e-2	6.175616e-16	true
7	12	6	true	true	true	8.881784e-16	0.000000e0	7.105427e-14	1.350031e-13	0.000000e0	1.776357e-15	true	2.775558e-17	-1.998129556421894e-2	-1.998129556421849e-2	4.475587e-16	true
11	12	10	true	true	true	3.552714e-15	0.000000e0	1.136868e-13	1.350031e-13	8.881784e-16	3.552714e-15	true	2.775558e-17	-3.325218164648781e-2	-3.325218164648773e-2	8.326673e-17	true
2	13	1	true	true	true	1.110223e-16	1.776357e-15	1.065814e-14	1.421085e-13	2.220446e-16	2.220446e-16	true	0.000000e0	-5.104876784909146e-3	-5.104876784906537e-3	2.609024e-15	true
3	13	2	true	true	true	4.440892e-16	1.776357e-15	2.398082e-14	1.421085e-13	0.000000e0	8.881784e-16	true	5.551115e-17	-9.231957433638430e-3	-9.231957433636723e-3	1.706968e-15	true
4	13	3	true	true	true	4.440892e-16	1.776357e-15	3.463896e-14	1.421085e-13	4.440892e-16	8.881784e-16	true	6.938894e-18	-1.279842449858673e-2	-1.279842449858561e-2	1.113692e-15	true
5	13	4	true	true	true	4.440892e-16	1.776357e-15	4.618528e-14	1.421085e-13	4.440892e-16	1.776357e-15	true	2.775558e-17	-1.396551501922005e-2	-1.396551501921924e-2	8.101159e-16	true
6	13	5	true	true	true	4.440892e-16	1.776357e-15	5.684342e-14	1.421085e-13	4.440892e-16	1.776357e-15	true	3.469447e-17	-1.874450727043419e-2	-1.874450727043351e-2	6.765422e-16	true
7	13	6	true	true	true	8.881784e-16	1.776357e-15	7.105427e-14	1.421085e-13	8.881784e-16	1.776357e-15	true	5.551115e-17	-1.259415776232899e-2	-1.259415776232851e-2	4.805184e-16	true
8	13	7	true	true	true	8.881784e-16	1.776357e-15	8.881784e-14	1.421085e-13	8.881784e-16	3.552714e-15	true	1.387779e-17	-2.065293617752997e-2	-2.065293617752963e-2	3.400058e-16	true
9	13	8	true	true	true	1.776357e-15	1.776357e-15	9.237056e-14	1.421085e-13	8.881784e-16	3.552714e-15	true	2.775558e-17	-2.273129476642159e-2	-2.273129476642129e-2	2.949030e-16	true
10	13	9	true	true	true	8.881784e-16	1.776357e-15	1.030287e-13	1.421085e-13	0.000000e0	3.552714e-15	true	1.387779e-17	-2.624095040684345e-2	-2.624095040684335e-2	9.367507e-17	true
11	13	10	true	true	true	3.552714e-15	1.776357e-15	1.136868e-13	1.421085e-13	8.881784e-16	0.000000e0	true	2.775558e-17	-2.892267416965216e-2	-2.892267416965200e-2	1.561251e-16	true
12	13	11	true	true	true	0.000000e0	1.776357e-15	1.350031e-13	1.421085e-13	0.000000e0	7.105427e-15	true	1.387779e-17	-3.087088398842546e-2	-3.087088398842549e-2	2.428613e-17	true
3	14	2	true	true	true	4.440892e-16	1.776357e-15	2.398082e-14	1.563194e-13	2.220446e-16	8.881784e-16	true	3.469447e-17	-6.632181029471697e-3	-6.632181029469900e-3	1.797174e-15	true
5	14	4	true	true	true	4.440892e-16	1.776357e-15	4.618528e-14	1.563194e-13	0.000000e0	1.776357e-15	true	4.163336e-17	-9.245713283648363e-3	-9.245713283647514e-3	8.482798e-16	true
9	14	8	true	true	true	1.776357e-15	1.776357e-15	9.237056e-14	1.563194e-13	8.881784e-16	7.105427e-15	true	4.163336e-17	-2.143905227321728e-2	-2.143905227321700e-2	2.844947e-16	true
11	14	10	true	true	true	3.552714e-15	1.776357e-15	1.136868e-13	1.563194e-13	8.881784e-16	0.000000e0	true	1.387779e-17	-2.536060329682450e-2	-2.536060329682448e-2	2.428613e-17	true
13	14	12	true	true	true	1.776357e-15	1.776357e-15	1.421085e-13	1.563194e-13	1.776357e-15	7.105427e-15	true	6.938894e-18	-2.880181716806447e-2	-2.880181716806457e-2	9.367507e-17	true
2	15	1	true	true	true	1.110223e-16	0.000000e0	1.065814e-14	1.634248e-13	0.000000e0	2.220446e-16	true	0.000000e0	-3.869054111059485e-3	-3.869054111056980e-3	2.504941e-15	true
4	15	3	true	true	true	4.440892e-16	0.000000e0	3.463896e-14	1.634248e-13	2.220446e-16	2.664535e-15	true	1.387779e-17	-7.103653093474854e-3	-7.103653093473744e-3	1.110223e-15	true
7	15	6	true	true	true	8.881784e-16	0.000000e0	7.105427e-14	1.634248e-13	4.440892e-16	3.552714e-15	true	0.000000e0	-1.660754880320034e-2	-1.660754880319980e-2	5.377643e-16	true
8	15	7	true	true	true	8.881784e-16	0.000000e0	8.881784e-14	1.634248e-13	0.000000e0	3.552714e-15	true	1.387779e-17	-1.012098697628766e-2	-1.012098697628726e-2	4.024558e-16	true
11	15	10	true	true	true	3.552714e-15	0.000000e0	1.136868e-13	1.634248e-13	8.881784e-16	0.000000e0	true	2.775558e-17	-2.243237808707636e-2	-2.243237808707609e-2	2.636780e-16	true
