band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.027281683025742e0
1	2	[2,4)	[4,8)	2.774909946176071e-1
1	3	[2,4)	[8,16)	-1.519662346508813e-1
1	4	[2,4)	[16,32)	2.792284919169322e-1
1	5	[2,4)	[32,64)	-1.886745387949722e-1
1	6	[2,4)	[64,128)	4.102852202774911e-2
1	7	[2,4)	[128,256)	-1.265188079873064e-2
1	8	[2,4)	[256,512)	2.178391818128735e-2
1	9	[2,4)	[512,1024)	-7.742681081162212e-3
1	10	[2,4)	[1024,2048)	-1.010929730866315e-2
1	11	[2,4)	[2048,4096)	1.254768100212546e-2
1	12	[2,4)	[4096,8192)	-7.517005177030413e-3
1	13	[2,4)	[8192,16384)	2.579134400770127e-3
1	14	[2,4)	[16384,32768)	-3.662555597384796e-4
2	1	[4,8)	[2,4)	2.774909946176070e-1
2	2	[4,8)	[4,8)	1.492280826212850e-1
2	3	[4,8)	[8,16)	-7.007243460516246e-2
2	4	[4,8)	[16,32)	1.101928235726520e-1
2	5	[4,8)	[32,64)	-7.800941447769083e-2
2	6	[4,8)	[64,128)	1.660178182089128e-2
2	7	[4,8)	[128,256)	-5.406328358124672e-3
2	8	[4,8)	[256,512)	9.205666764558699e-3
2	9	[4,8)	[512,1024)	-3.289036464104997e-3
2	10	[4,8)	[1024,2048)	-4.353620603608188e-3
2	11	[4,8)	[2048,4096)	5.413262733065111e-3
2	12	[4,8)	[4096,8192)	-3.253312091285766e-3
2	13	[4,8)	[8192,16384)	1.119274422267815e-3
2	14	[4,8)	[16384,32768)	-1.593566732504626e-4
3	1	[8,16)	[2,4)	-1.519662346508813e-1
3	2	[8,16)	[4,8)	-7.007243460516245e-2
3	3	[8,16)	[8,16)	6.573586668665014e-2
3	4	[8,16)	[16,32)	-8.753100321329965e-2
3	5	[8,16)	[32,64)	5.242866225124405e-2
3	6	[8,16)	[64,128)	-1.281392868655603e-2
3	7	[8,16)	[128,256)	3.760535784126245e-3
3	8	[8,16)	[256,512)	-7.243549068078533e-3
3	9	[8,16)	[512,1024)	2.538540638888914e-3
3	10	[8,16)	[1024,2048)	3.500196082746086e-3
3	11	[8,16)	[2048,4096)	-4.379218084541327e-3
3	12	[8,16)	[4096,8192)	2.648556122600704e-3
3	13	[8,16)	[8192,16384)	-9.165508339870087e-4
3	14	[8,16)	[16384,32768)	1.311939212248931e-4
4	1	[16,32)	[2,4)	2.792284919169322e-1
4	2	[16,32)	[4,8)	1.101928235726520e-1
4	3	[16,32)	[8,16)	-8.753100321329965e-2
4	4	[16,32)	[16,32)	2.008760284933934e-1
4	5	[16,32)	[32,64)	-1.385082788903479e-1
4	6	[16,32)	[64,128)	2.703219523534426e-2
4	7	[16,32)	[128,256)	-1.028732482607826e-2
4	8	[16,32)	[256,512)	1.800219736777017e-2
4	9	[16,32)	[512,1024)	-6.459616819901971e-3
