band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	1.012471714054701e0
1	2	[2,4)	[4,8)	3.195046903604672e-1
1	3	[2,4)	[8,16)	-1.607169016002430e-1
1	4	[2,4)	[16,32)	2.952679629989984e-1
1	5	[2,4)	[32,64)	-1.986272659555697e-1
1	6	[2,4)	[64,128)	4.354289351503734e-2
1	7	[2,4)	[128,256)	-1.365539403289056e-2
1	8	[2,4)	[256,512)	2.392892969204822e-2
1	9	[2,4)	[512,1024)	-8.400976315145393e-3
1	10	[2,4)	[1024,2048)	-1.227783538102343e-2
1	11	[2,4)	[2048,4096)	1.604539190320279e-2
1	12	[2,4)	[4096,8192)	-1.086426809028154e-2
1	13	[2,4)	[8192,16384)	5.170804905434170e-3
1	14	[2,4)	[16384,32768)	-1.688666480072241e-3
1	15	[2,4)	[32768,65536)	2.377463534802275e-4
2	1	[4,8)	[2,4)	3.195046903604672e-1
2	2	[4,8)	[4,8)	9.436669610946061e-5
2	3	[4,8)	[8,16)	2.105983536734945e-2
2	4	[4,8)	[16,32)	1.711033798133579e-1
2	5	[4,8)	[32,64)	-1.048370785803667e-1
2	6	[4,8)	[64,128)	2.122924670070162e-2
2	7	[4,8)	[128,256)	-6.147545351960290e-3
2	8	[4,8)	[256,512)	1.051920313490134e-2
2	9	[4,8)	[512,1024)	-3.668787781974883e-3
2	10	[4,8)	[1024,2048)	-5.351987379515092e-3
2	11	[4,8)	[2048,4096)	6.997945391078063e-3
2	12	[4,8)	[4096,8192)	-4.746134150230354e-3
2	13	[4,8)	[8192,16384)	2.263726261955872e-3
2	14	[4,8)	[16384,32768)	-7.406712547403072e-4
2	15	[4,8)	[32768,65536)	1.044779949738410e-4
3	1	[8,16)	[2,4)	-1.607169016002430e-1
3	2	[8,16)	[4,8)	2.105983536734950e-2
3	3	[8,16)	[8,16)	6.955405800654883e-5
3	4	[8,16)	[16,32)	-1.965590818385395e-4
3	5	[8,16)	[32,64)	4.612788444898796e-3
3	6	[8,16)	[64,128)	1.183068863564695e-1
3	7	[8,16)	[128,256)	7.990462824473656e-3
3	8	[8,16)	[256,512)	-1.099646901260878e-2
3	9	[8,16)	[512,1024)	3.614339234843102e-3
3	10	[8,16)	[1024,2048)	4.514574175573051e-3
3	11	[8,16)	[2048,4096)	-5.868981393580549e-3
3	12	[8,16)	[4096,8192)	3.959645289019136e-3
3	13	[8,16)	[8192,16384)	-1.887333416802363e-3
3	14	[8,16)	[16384,32768)	6.184698131939924e-4
3	15	[8,16)	[32768,65536)	-8.745904226965451e-5
4	1	[16,32)	[2,4)	2.952679629989984e-1
4	2	[16,32)	[4,8)	1.711033798133579e-1
4	3	[16,32)	[8,16)	-1.965590818385395e-4
4	4	[16,32)	[16,32)	5.280146308311773e-4
4	5	[16,32)	[32,64)	-4.917633319730653e-4
4	6	[16,32)	[64,128)	-4.568229354444602e-2
4	7	[16,32)	[128,256)	1.529917108652654e-1
4	8	[16,32)	[256,512)	1.090447835774989e-1
4	9	[16,32)	[512,1024)	-3.563972841283910e-2
4	10	[16,32)	[1024,2048)	-1.313432548807307e-2
4	11	[16,32)	[2048,4096)	1.663206208548815e-2
4	12	[16,32)	[4096,8192)	-1.082670935426292e-2
4	13	[16,32)	[8192,16384)	5.077105031214224e-3
4	14	[16,32)	[16384,32768)	-1.653807430090294e-3
4	15	[16,32)	[32768,65536)	2.333659702232281e-4
5	1	[32,64)	[2,4)	-1.986272659555697e-1
5	2	[32,64)	[4,8)	-1.048370785803666e-1
5	3	[32,64)	[8,16)	4.612788444898778e-3
5	4	[32,64)	[16,32)	-4.917633319730652e-4
5	5	[32,64)	[32,64)	4.484711897094722e-4
5	6	[32,64)	[64,128)	-1.409559520782264e-4
5	7	[32,64)	[128,256)	1.137118491808981e-4
5	8	[32,64)	[256,512)	-5.817543470857856e-3
5	9	[32,64)	[512,1024)	1.198758331435347e-1
5	10	[32,64)	[1024,2048)	-1.864497134419227e-1
5	11	[32,64)	[2048,4096)	-2.127209449212534e-2
5	12	[32,64)	[4096,8192)	1.082616575264897e-2
5	13	[32,64)	[8192,16384)	-4.775765344968617e-3
5	14	[32,64)	[16384,32768)	1.522833853901905e-3
5	15	[32,64)	[32768,65536)	-2.127640751171514e-4
6	1	[64,128)	[2,4)	4.354289351503735e-2
6	2	[64,128)	[4,8)	2.122924670070164e-2
6	3	[64,128)	[8,16)	1.183068863564695e-1
6	4	[64,128)	[16,32)	-4.568229354444602e-2
6	5	[64,128)	[32,64)	-1.409559520782265e-4
6	6	[64,128)	[64,128)	5.326853719884806e-5
6	7	[64,128)	[128,256)	-3.404907265942825e-5
6	8	[64,128)	[256,512)	9.152200134146505e-5
6	9	[64,128)	[512,1024)	-1.469231677226540e-5
6	10	[64,128)	[1024,2048)	3.253479735287843e-2
6	11	[64,128)	[2048,4096)	-2.230610341592797e-1
6	12	[64,128)	[4096,8192)	6.088035994423235e-2
6	13	[64,128)	[8192,16384)	5.383125450089355e-4
6	14	[64,128)	[16384,32768)	-4.273846339800405e-4
6	15	[64,128)	[32768,65536)	6.349165367840283e-5
7	1	[128,256)	[2,4)	-1.365539403289058e-2
7	2	[128,256)	[4,8)	-6.147545351960305e-3
7	3	[128,256)	[8,16)	7.990462824473670e-3
7	4	[128,256)	[16,32)	1.529917108652655e-1
7	5	[128,256)	[32,64)	1.137118491808980e-4
7	6	[128,256)	[64,128)	-3.404907265942803e-5
7	7	[128,256)	[128,256)	3.692311685832094e-4
7	8	[128,256)	[256,512)	-9.915535390447609e-5
7	9	[128,256)	[512,1024)	1.754655879873697e-5
7	10	[128,256)	[1024,2048)	2.221556412783425e-4
7	11	[128,256)	[2048,4096)	-4.175810278769116e-4
7	12	[128,256)	[4096,8192)	1.695468383604049e-2
7	13	[128,256)	[8192,16384)	-8.874552658347339e-3
7	14	[128,256)	[16384,32768)	-2.989620108163300e-2
7	15	[128,256)	[32768,65536)	-9.790834917744635e-5
8	1	[256,512)	[2,4)	2.392892969204823e-2
8	2	[256,512)	[4,8)	1.051920313490135e-2
8	3	[256,512)	[8,16)	-1.099646901260878e-2
8	4	[256,512)	[16,32)	1.090447835774989e-1
8	5	[256,512)	[32,64)	-5.817543470857858e-3
8	6	[256,512)	[64,128)	9.152200134146521e-5
8	7	[256,512)	[128,256)	-9.915535390447638e-5
8	8	[256,512)	[256,512)	-8.820344500594070e-3
8	9	[256,512)	[512,1024)	-1.147466710007983e-2
8	10	[256,512)	[1024,2048)	-1.359386734742571e-2
8	11	[256,512)	[2048,4096)	1.759378619667538e-2
8	12	[256,512)	[4096,8192)	-1.862892335875587e-2
8	13	[256,512)	[8192,16384)	2.920849605122545e-2
8	14	[256,512)	[16384,32768)	1.016488150489101e-2
8	15	[256,512)	[32768,65536)	3.537720397433945e-3
9	1	[512,1024)	[2,4)	-8.400976315145388e-3
9	2	[512,1024)	[4,8)	-3.668787781974885e-3
9	3	[512,1024)	[8,16)	3.614339234843104e-3
9	4	[512,1024)	[16,32)	-3.563972841283911e-2
9	5	[512,1024)	[32,64)	1.198758331435348e-1
9	6	[512,1024)	[64,128)	-1.469231677226533e-5
9	7	[512,1024)	[128,256)	1.754655879873690e-5
9	8	[512,1024)	[256,512)	-1.147466710007983e-2
9	9	[512,1024)	[512,1024)	7.953348542123893e-3
9	10	[512,1024)	[1024,2048)	6.315578139535676e-3
9	11	[512,1024)	[2048,4096)	-1.853757753506985e-2
9	12	[512,1024)	[4096,8192)	5.625558460564131e-3
9	13	[512,1024)	[8192,16384)	1.450701419520982e-2
9	14	[512,1024)	[16384,32768)	1.234430578996023e-2
9	15	[512,1024)	[32768,65536)	-1.719769348539193e-3
10	1	[1024,2048)	[2,4)	-1.227783538102343e-2
10	2	[1024,2048)	[4,8)	-5.351987379515091e-3
10	3	[1024,2048)	[8,16)	4.514574175573056e-3
10	4	[1024,2048)	[16,32)	-1.313432548807307e-2
10	5	[1024,2048)	[32,64)	-1.864497134419227e-1
10	6	[1024,2048)	[64,128)	3.253479735287842e-2
10	7	[1024,2048)	[128,256)	2.221556412783431e-4
10	8	[1024,2048)	[256,512)	-1.359386734742571e-2
10	9	[1024,2048)	[512,1024)	6.315578139535675e-3
10	10	[1024,2048)	[1024,2048)	-2.000830170858788e-3
10	11	[1024,2048)	[2048,4096)	-2.115467879472829e-3
10	12	[1024,2048)	[4096,8192)	1.767636452847992e-2
10	13	[1024,2048)	[8192,16384)	-1.933312107973940e-2
10	14	[1024,2048)	[16384,32768)	-2.067954115009698e-2
10	15	[1024,2048)	[32768,65536)	-1.414258503313527e-3
11	1	[2048,4096)	[2,4)	1.604539190320279e-2
11	2	[2048,4096)	[4,8)	6.997945391078063e-3
11	3	[2048,4096)	[8,16)	-5.868981393580549e-3
11	4	[2048,4096)	[16,32)	1.663206208548815e-2
11	5	[2048,4096)	[32,64)	-2.127209449212535e-2
11	6	[2048,4096)	[64,128)	-2.230610341592797e-1
11	7	[2048,4096)	[128,256)	-4.175810278769116e-4
11	8	[2048,4096)	[256,512)	1.759378619667538e-2
11	9	[2048,4096)	[512,1024)	-1.853757753506985e-2
11	10	[2048,4096)	[1024,2048)	-2.115467879472827e-3
11	11	[2048,4096)	[2048,4096)	-5.858223458545033e-4
11	12	[2048,4096)	[4096,8192)	-4.875355281064528e-3
11	13	[2048,4096)	[8192,16384)	1.951644922384544e-2
11	14	[2048,4096)	[16384,32768)	2.628912718962386e-3
11	15	[2048,4096)	[32768,65536)	1.917310615949872e-3
12	1	[4096,8192)	[2,4)	-1.086426809028154e-2
12	2	[4096,8192)	[4,8)	-4.746134150230354e-3
12	3	[4096,8192)	[8,16)	3.959645289019138e-3
12	4	[4096,8192)	[16,32)	-1.082670935426292e-2
12	5	[4096,8192)	[32,64)	1.082616575264897e-2
12	6	[4096,8192)	[64,128)	6.088035994423236e-2
12	7	[4096,8192)	[128,256)	1.695468383604049e-2
12	8	[4096,8192)	[256,512)	-1.862892335875587e-2
12	9	[4096,8192)	[512,1024)	5.625558460564131e-3
12	10	[4096,8192)	[1024,2048)	1.767636452847992e-2
12	11	[4096,8192)	[2048,4096)	-4.875355281064527e-3
12	12	[4096,8192)	[4096,8192)	9.273616675296244e-3
12	13	[4096,8192)	[8192,16384)	-3.063622133382909e-3
12	14	[4096,8192)	[16384,32768)	4.504121820862153e-3
12	15	[4096,8192)	[32768,65536)	-5.491466071867316e-4
13	1	[8192,16384)	[2,4)	5.170804905434171e-3
13	2	[8192,16384)	[4,8)	2.263726261955872e-3
13	3	[8192,16384)	[8,16)	-1.887333416802363e-3
13	4	[8192,16384)	[16,32)	5.077105031214223e-3
13	5	[8192,16384)	[32,64)	-4.775765344968617e-3
13	6	[8192,16384)	[64,128)	5.383125450089340e-4
13	7	[8192,16384)	[128,256)	-8.874552658347336e-3
13	8	[8192,16384)	[256,512)	2.920849605122547e-2
13	9	[8192,16384)	[512,1024)	1.450701419520982e-2
13	10	[8192,16384)	[1024,2048)	-1.933312107973941e-2
13	11	[8192,16384)	[2048,4096)	1.951644922384544e-2
13	12	[8192,16384)	[4096,8192)	-3.063622133382910e-3
13	13	[8192,16384)	[8192,16384)	5.872050972877923e-3
13	14	[8192,16384)	[16384,32768)	-3.785675832024211e-3
13	15	[8192,16384)	[32768,65536)	1.751287924942659e-4
14	1	[16384,32768)	[2,4)	-1.688666480072240e-3
14	2	[16384,32768)	[4,8)	-7.406712547403072e-4
14	3	[16384,32768)	[8,16)	6.184698131939926e-4
14	4	[16384,32768)	[16,32)	-1.653807430090294e-3
14	5	[16384,32768)	[32,64)	1.522833853901904e-3
14	6	[16384,32768)	[64,128)	-4.273846339800406e-4
14	7	[16384,32768)	[128,256)	-2.989620108163300e-2
14	8	[16384,32768)	[256,512)	1.016488150489101e-2
14	9	[16384,32768)	[512,1024)	1.234430578996023e-2
14	10	[16384,32768)	[1024,2048)	-2.067954115009698e-2
14	11	[16384,32768)	[2048,4096)	2.628912718962385e-3
14	12	[16384,32768)	[4096,8192)	4.504121820862152e-3
14	13	[16384,32768)	[8192,16384)	-3.785675832024211e-3
14	14	[16384,32768)	[16384,32768)	2.520367609098342e-3
14	15	[16384,32768)	[32768,65536)	-2.638494805555411e-4
15	1	[32768,65536)	[2,4)	2.377463534802275e-4
15	2	[32768,65536)	[4,8)	1.044779949738410e-4
15	3	[32768,65536)	[8,16)	-8.745904226965451e-5
15	4	[32768,65536)	[16,32)	2.333659702232281e-4
15	5	[32768,65536)	[32,64)	-2.127640751171514e-4
15	6	[32768,65536)	[64,128)	6.349165367840282e-5
15	7	[32768,65536)	[128,256)	-9.790834917744644e-5
15	8	[32768,65536)	[256,512)	3.537720397433945e-3
15	9	[32768,65536)	[512,1024)	-1.719769348539193e-3
15	10	[32768,65536)	[1024,2048)	-1.414258503313527e-3
15	11	[32768,65536)	[2048,4096)	1.917310615949872e-3
15	12	[32768,65536)	[4096,8192)	-5.491466071867316e-4
15	13	[32768,65536)	[8192,16384)	1.751287924942659e-4
15	14	[32768,65536)	[16384,32768)	-2.638494805555412e-4
15	15	[32768,65536)	[32768,65536)	5.006434566342786e-5
