band_j	band_k	range_j	range_k	Q_band
1	1	[2,4)	[2,4)	9.997132527591462e-1
1	2	[2,4)	[4,8)	3.130423260297991e-1
1	3	[2,4)	[8,16)	-1.559838945030679e-1
1	4	[2,4)	[16,32)	2.846077637568069e-1
1	5	[2,4)	[32,64)	-1.901795416646005e-1
1	6	[2,4)	[64,128)	4.133238691188156e-2
1	7	[2,4)	[128,256)	-1.263320981241811e-2
1	8	[2,4)	[256,512)	2.178787764848275e-2
1	9	[2,4)	[512,1024)	-7.743377490780197e-3
1	10	[2,4)	[1024,2048)	-1.008391870287727e-2
1	11	[2,4)	[2048,4096)	1.250635111053089e-2
1	12	[2,4)	[4096,8192)	-7.476310313488471e-3
1	13	[2,4)	[8192,16384)	2.547223404007913e-3
1	14	[2,4)	[16384,32768)	-3.429178950633378e-4
2	1	[4,8)	[2,4)	3.130423260297991e-1
2	2	[4,8)	[4,8)	1.717755398666695e-4
2	3	[4,8)	[8,16)	1.994324626207141e-2
2	4	[4,8)	[16,32)	1.636524679120799e-1
2	5	[4,8)	[32,64)	-9.961235843314852e-2
2	6	[4,8)	[64,128)	1.999340194451705e-2
2	7	[4,8)	[128,256)	-5.645843080750513e-3
2	8	[4,8)	[256,512)	9.506209480931229e-3
2	9	[4,8)	[512,1024)	-3.356073360743308e-3
2	10	[4,8)	[1024,2048)	-4.362593142659415e-3
2	11	[4,8)	[2048,4096)	5.413199484819913e-3
2	12	[4,8)	[4096,8192)	-3.241170468389328e-3
2	13	[4,8)	[8192,16384)	1.106424543716295e-3
2	14	[4,8)	[16384,32768)	-1.492660045069775e-4
3	1	[8,16)	[2,4)	-1.559838945030678e-1
3	2	[8,16)	[4,8)	1.994324626207144e-2
3	3	[8,16)	[8,16)	1.236077331939279e-4
3	4	[8,16)	[16,32)	-3.468572707837045e-4
3	5	[8,16)	[32,64)	4.733200350269107e-3
3	6	[8,16)	[64,128)	1.100798008793436e-1
3	7	[8,16)	[128,256)	7.280288562475478e-3
3	8	[8,16)	[256,512)	-9.847026104655290e-3
3	9	[8,16)	[512,1024)	3.261602951341462e-3
3	10	[8,16)	[1024,2048)	3.643145587586955e-3
3	11	[8,16)	[2048,4096)	-4.495631799666354e-3
3	12	[8,16)	[4096,8192)	2.677437673390918e-3
3	13	[8,16)	[8192,16384)	-9.131121979107545e-4
